latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
27.3769,95.34052,309.74,1.08,1.04,2026-09-03,228,Terra,MODIS,46,6.1NRT,289.96,5.24,D
35.70596,73.66457,305.63,1.02,1.01,2026-09-03,404,Terra,MODIS,49,6.1NRT,291.51,5.79,D
29.90999,74.94506,321.82,1.07,1.03,2026-09-03,406,Terra,MODIS,68,6.1NRT,297.75,13.22,D
8.42492,80.70513,314.8,3.78,1.82,2026-09-03,934,Aqua,MODIS,57,6.1NRT,291.77,44.32,D
23.67901,86.394,318.19,1,1,2026-09-03,939,Aqua,MODIS,0,6.1NRT,296,10.45,D
23.70473,86.44762,315.73,1,1,2026-09-03,939,Aqua,MODIS,72,6.1NRT,296.46,7.61,D
23.73263,86.43703,313.69,1,1,2026-09-03,939,Aqua,MODIS,54,6.1NRT,294.72,7.89,D
23.76878,86.19783,310.67,1,1,2026-09-03,939,Aqua,MODIS,62,6.1NRT,292.73,4.41,D
23.77018,86.20729,310.01,1,1,2026-09-03,939,Aqua,MODIS,59,6.1NRT,292.93,3.71,D
23.8012,86.33105,316.91,1,1,2026-09-03,939,Aqua,MODIS,62,6.1NRT,296.69,8.56,D
29.9098,74.95193,314.59,3.34,1.72,2026-09-03,939,Aqua,MODIS,60,6.1NRT,291.04,48.91,D
20.79402,85.25333,309.46,1.31,1.13,2026-09-03,1501,Terra,MODIS,77,6.1NRT,290.47,9.82,N
20.965,86.0109,315.98,1.47,1.2,2026-09-03,1501,Terra,MODIS,92,6.1NRT,290.42,21.12,N
23.76469,86.39982,309,1.71,1.28,2026-09-03,1501,Terra,MODIS,53,6.1NRT,291.14,13.02,N
23.76543,86.40535,306.51,1.71,1.28,2026-09-03,1501,Terra,MODIS,42,6.1NRT,290.9,10.39,N
23.80301,86.32922,302.27,1.69,1.28,2026-09-03,1501,Terra,MODIS,18,6.1NRT,285,6.61,N
20.9705,85.17382,301.86,2.15,1.42,2026-09-03,2144,Aqua,MODIS,20,6.1NRT,287.17,15.42,N
23.76729,86.40344,305.8,1.91,1.35,2026-09-03,2144,Aqua,MODIS,51,6.1NRT,289.21,12.36,N
33.85929,95.64684,307.46,1.91,1.35,2026-09-04,304,Terra,MODIS,14,6.1NRT,290.68,8.99,D
33.86325,95.62716,309.4,1.9,1.35,2026-09-04,304,Terra,MODIS,49,6.1NRT,290.28,12.45,D
34.12664,95.79767,306.76,1.93,1.36,2026-09-04,304,Terra,MODIS,21,6.1NRT,290.15,10.85,D
34.13267,95.80553,310.21,1.93,1.36,2026-09-04,304,Terra,MODIS,62,6.1NRT,290.58,16.19,D
34.14433,95.8086,310.51,1.93,1.36,2026-09-04,304,Terra,MODIS,56,6.1NRT,291.75,16.27,D
36.34322,95.14361,320.75,1.56,1.23,2026-09-04,304,Terra,MODIS,75,6.1NRT,306.94,11.57,D
36.34634,95.12709,327.7,1.56,1.23,2026-09-04,304,Terra,MODIS,82,6.1NRT,307.48,25.32,D
36.37362,95.10056,324.37,1.55,1.23,2026-09-04,304,Terra,MODIS,72,6.1NRT,307.23,16.45,D
20.9532,86.05294,314.46,1,1,2026-09-04,308,Terra,MODIS,61,6.1NRT,295.5,6.29,D
20.96736,86.01695,313.32,1,1,2026-09-04,308,Terra,MODIS,39,6.1NRT,295.84,5.68,D
20.9687,86.0076,317.58,1,1,2026-09-04,308,Terra,MODIS,72,6.1NRT,295.78,9.59,D
23.64901,85.4397,313.41,1.03,1.01,2026-09-04,308,Terra,MODIS,66,6.1NRT,292.74,7.61,D
23.75806,85.85587,312.45,1.01,1,2026-09-04,308,Terra,MODIS,49,6.1NRT,294.07,6.12,D
23.76486,86.40143,321.42,1,1,2026-09-04,308,Terra,MODIS,77,6.1NRT,296.01,11.68,D
23.77426,86.20771,313.6,1,1,2026-09-04,308,Terra,MODIS,66,6.1NRT,294.85,6.41,D
23.78305,86.20914,312.36,1,1,2026-09-04,308,Terra,MODIS,47,6.1NRT,294.62,5.02,D
