latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.94729,80.78709,333.81,0.79,0.78,2026-09-03,712,N,VIIRS,n,2.0NRT,288.83,6.04,D
8.94969,80.79314,336.01,0.78,0.78,2026-09-03,712,N,VIIRS,n,2.0NRT,288.87,11.49,D
23.80334,86.3283,329.9,0.56,0.43,2026-09-03,716,N,VIIRS,n,2.0NRT,292.97,4.25,D
26.52341,90.53152,337.85,0.38,0.36,2026-09-03,716,N,VIIRS,n,2.0NRT,295.1,3.17,D
26.80206,90.32026,331.09,0.38,0.36,2026-09-03,716,N,VIIRS,n,2.0NRT,295.86,4.05,D
26.88079,92.32764,335.88,0.4,0.37,2026-09-03,716,N,VIIRS,n,2.0NRT,295.78,6.54,D
27.37946,95.33263,333.29,0.53,0.42,2026-09-03,716,N,VIIRS,n,2.0NRT,293.87,1.57,D
27.98586,95.93726,334.3,0.39,0.44,2026-09-03,716,N,VIIRS,n,2.0NRT,295.68,5.03,D
27.99035,95.94063,340.52,0.39,0.44,2026-09-03,716,N,VIIRS,n,2.0NRT,294.12,6.05,D
28.181,95.66731,333.32,0.57,0.43,2026-09-03,716,N,VIIRS,n,2.0NRT,294.3,5.65,D
28.4979,97.02413,337.33,0.45,0.47,2026-09-03,716,N,VIIRS,n,2.0NRT,292.52,6.62,D
8.4028,80.65507,332.44,0.48,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,293.37,5.58,D
8.4287,80.5266,330.2,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,292.89,6.28,D
8.43132,80.52473,346.03,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,292.96,7.77,D
8.55929,80.3675,367,0.46,0.64,2026-09-03,852,N,VIIRS,h,2.0NRT,294.02,17.44,D
8.564,80.79541,333.78,0.49,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,291.79,6.69,D
8.56422,80.79527,332.99,0.49,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,291.38,3.8,D
8.60062,80.454,335.49,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,290.31,2.76,D
8.60401,80.48016,334.16,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,292.18,6.33,D
8.60457,80.48453,331.25,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,291.37,5.78,D
8.62868,80.4115,334.84,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,293.13,4.52,D
8.62922,80.41586,339.61,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,293.02,4.52,D
8.63185,80.41512,342.85,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,291.81,7.79,D
8.6559,80.50523,349.78,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,293.52,8.48,D
8.65861,80.50542,356.68,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,293.32,11.33,D
8.66189,80.50454,333.14,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,291.88,5.56,D
8.81097,78.0528,333.07,0.32,0.55,2026-09-03,852,N,VIIRS,n,2.0NRT,298.05,0.97,D
8.82872,80.53358,335.37,0.48,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,291.51,7.51,D
8.86421,78.08301,337.52,0.33,0.55,2026-09-03,852,N,VIIRS,n,2.0NRT,296.67,2.55,D
8.86688,78.08226,334.12,0.33,0.55,2026-09-03,852,N,VIIRS,n,2.0NRT,296.85,1.34,D
8.8697,80.70795,331.08,0.49,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,289.83,2.61,D
8.99572,78.11298,337.77,0.33,0.55,2026-09-03,852,N,VIIRS,n,2.0NRT,296.58,1.58,D
8.99612,78.11604,340.09,0.33,0.55,2026-09-03,852,N,VIIRS,n,2.0NRT,296.73,1.58,D
9.09281,79.79891,331.83,0.43,0.62,2026-09-03,852,N,VIIRS,n,2.0NRT,291.7,4.75,D
9.2081,80.67667,332.64,0.49,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,292.05,4.85,D
9.20827,80.67661,333.84,0.5,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,292,6.18,D
9.3942,80.43369,335.74,0.48,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,292.71,7.95,D
9.39609,80.43563,331.09,0.48,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,292.43,6.93,D
9.40996,78.80921,341.22,0.37,0.58,2026-09-03,852,N,VIIRS,n,2.0NRT,292.88,0.73,D
10.23653,79.19613,367,0.41,0.6,2026-09-03,852,N,VIIRS,h,2.0NRT,294.56,11.42,D
10.9525,78.43614,334.3,0.37,0.58,2026-09-03,852,N,VIIRS,n,2.0NRT,273.55,2.9,D
11.5078,79.52651,346.56,0.45,0.63,2026-09-03,852,N,VIIRS,n,2.0NRT,294.32,4.34,D
11.50817,79.52599,344.98,0.44,0.63,2026-09-03,852,N,VIIRS,n,2.0NRT,294.04,2.7,D
18.51854,74.3471,334.46,0.5,0.49,2026-09-03,856,N,VIIRS,n,2.0NRT,296.41,4.86,D
18.51911,74.35187,330.29,0.5,0.49,2026-09-03,856,N,VIIRS,n,2.0NRT,296.04,4.86,D
18.56307,74.36423,332.55,0.5,0.49,2026-09-03,856,N,VIIRS,n,2.0NRT,297.39,7.46,D
18.69169,73.04173,334.81,0.42,0.45,2026-09-03,856,N,VIIRS,n,2.0NRT,295.45,5.14,D
21.10661,72.64839,332.65,0.42,0.45,2026-09-03,856,N,VIIRS,n,2.0NRT,296.01,4.4,D
22.4173,69.04085,340.77,0.43,0.38,2026-09-03,856,N,VIIRS,n,2.0NRT,302.56,5.33,D
22.92752,70.11013,330.19,0.48,0.4,2026-09-03,856,N,VIIRS,n,2.0NRT,293.5,3.07,D
22.93244,69.69634,330.89,0.46,0.39,2026-09-03,856,N,VIIRS,l,2.0NRT,302.24,4.13,D
29.88983,73.90404,333.23,0.32,0.55,2026-09-03,858,N,VIIRS,n,2.0NRT,296.63,1.81,D
32.51342,82.42087,311.6,0.46,0.63,2026-09-03,1940,N,VIIRS,n,2.0NRT,277.11,0.12,N
35.99179,94.82908,299.89,0.39,0.36,2026-09-03,1940,N,VIIRS,n,2.0NRT,280.74,0.74,N
26.75918,83.19909,306.85,0.35,0.57,2026-09-03,1942,N,VIIRS,n,2.0NRT,285.78,1.16,N
23.56118,87.08237,307.04,0.57,0.43,2026-09-03,1945,N,VIIRS,n,2.0NRT,282.82,2.48,N
23.58044,86.72423,309.01,0.4,0.44,2026-09-03,1945,N,VIIRS,n,2.0NRT,288.21,1.24,N
23.6091,85.67449,308.9,0.46,0.47,2026-09-03,1945,N,VIIRS,n,2.0NRT,287.95,0.98,N
23.61394,86.78859,309.63,0.39,0.44,2026-09-03,1945,N,VIIRS,n,2.0NRT,289.21,1.7,N
23.63301,86.83422,306.94,0.39,0.44,2026-09-03,1945,N,VIIRS,n,2.0NRT,288.53,0.84,N
23.64893,85.44199,304.53,0.47,0.48,2026-09-03,1945,N,VIIRS,n,2.0NRT,285.44,1.15,N
23.64945,85.43736,328.16,0.47,0.48,2026-09-03,1945,N,VIIRS,n,2.0NRT,285.76,4,N
23.66326,87.15506,315.58,0.56,0.43,2026-09-03,1945,N,VIIRS,n,2.0NRT,286.04,2.72,N
23.6662,84.99924,305.61,0.5,0.49,2026-09-03,1945,N,VIIRS,n,2.0NRT,284.33,1.64,N
23.66999,86.93584,305.31,0.39,0.44,2026-09-03,1945,N,VIIRS,n,2.0NRT,286.93,0.5,N
23.67128,84.99492,302,0.5,0.49,2026-09-03,1945,N,VIIRS,n,2.0NRT,285.16,0.81,N
23.67558,85.32627,302.56,0.48,0.48,2026-09-03,1945,N,VIIRS,n,2.0NRT,285.85,0.87,N
23.68263,87.12968,304.46,0.57,0.43,2026-09-03,1945,N,VIIRS,n,2.0NRT,286.13,1.02,N
23.68801,87.11914,310.76,0.57,0.43,2026-09-03,1945,N,VIIRS,n,2.0NRT,285.56,1.93,N
23.69199,87.11974,307.04,0.57,0.43,2026-09-03,1945,N,VIIRS,n,2.0NRT,285.93,1.93,N
