latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.41492,80.56696,346.91,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,292.68,4.19,D
8.41631,80.3227,350.19,0.42,0.61,2026-09-02,729,N,VIIRS,n,2.0NRT,293.83,8.01,D
8.417,80.32652,338.39,0.42,0.61,2026-09-02,729,N,VIIRS,n,2.0NRT,293.64,11.58,D
8.43109,80.65472,337.46,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,296.5,4.76,D
8.43729,80.78544,346.61,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,296.67,7.09,D
8.43836,80.78616,346.04,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,296.53,5.6,D
8.44558,80.73347,367,0.39,0.59,2026-09-02,729,N,VIIRS,h,2.0NRT,294.79,9.66,D
8.46852,81.11768,354.33,0.37,0.58,2026-09-02,729,N,VIIRS,n,2.0NRT,297.23,6.59,D
8.47271,80.81999,343.04,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,297.33,5.79,D
8.47463,80.83051,367,0.38,0.59,2026-09-02,729,N,VIIRS,h,2.0NRT,298.18,9.47,D
8.47527,80.83401,335.16,0.38,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,295.19,9.47,D
8.47878,80.82249,346.96,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,296.26,6.74,D
8.47942,80.826,334.44,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,295.75,6.74,D
8.49191,80.80196,339.61,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,294.9,1.95,D
8.49255,80.8055,332.88,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,296.2,3.02,D
8.4979,80.15121,330.36,0.43,0.62,2026-09-02,729,N,VIIRS,n,2.0NRT,294.23,3.34,D
8.51043,80.68813,333.16,0.39,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,295.6,3.76,D
8.52422,80.67086,344.89,0.39,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,294.34,3.47,D
8.52491,80.67143,347.72,0.39,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,294.27,3.08,D
8.52835,80.81718,337.48,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,295.5,3.41,D
8.53487,80.79079,333.26,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,295.2,6.76,D
8.53549,80.7943,367,0.39,0.59,2026-09-02,729,N,VIIRS,h,2.0NRT,296.16,6.76,D
8.53568,80.79343,367,0.39,0.59,2026-09-02,729,N,VIIRS,h,2.0NRT,296.67,11.89,D
8.54068,80.66792,336.61,0.39,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,291.88,1.52,D
8.54718,80.61058,333.05,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,294.44,4.57,D
8.55356,80.76841,336.61,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,295.74,2.86,D
8.55561,80.68747,330.74,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,296,4.1,D
8.57298,80.41463,332.67,0.41,0.61,2026-09-02,729,N,VIIRS,n,2.0NRT,294.45,3.36,D
8.57462,80.41475,334.48,0.41,0.61,2026-09-02,729,N,VIIRS,n,2.0NRT,295.38,7.07,D
8.57646,80.64652,330.72,0.39,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,294.33,4.88,D
8.5813,80.64192,331.96,0.39,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,295.02,5.5,D
8.58795,80.74087,337.58,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,294.08,2.65,D
8.59681,80.66502,332.41,0.39,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,294.7,3.05,D
8.61355,80.69516,330.01,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,293.63,6.82,D
8.61902,80.69415,356.1,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,294.17,6.82,D
8.61938,80.69332,336.36,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,292.77,4.64,D
8.62972,80.6591,341.84,0.39,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,294.26,6.08,D
8.62986,80.65842,353.41,0.39,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,293.71,5.23,D
8.63088,80.72893,334.37,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,293.45,2.95,D
8.6315,80.72802,340.11,0.39,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,293.66,3.78,D
8.63386,80.52625,333.95,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,293.82,6.05,D
8.63886,80.4912,330.18,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,294.32,5.31,D
8.63953,80.49488,339.61,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,295.01,7.96,D
8.6888,80.35437,340.54,0.41,0.61,2026-09-02,729,N,VIIRS,n,2.0NRT,293.89,3.92,D
8.69176,80.35313,349.2,0.41,0.61,2026-09-02,729,N,VIIRS,n,2.0NRT,293.08,4.47,D
8.72116,81.12231,349.27,0.36,0.58,2026-09-02,729,N,VIIRS,n,2.0NRT,297.45,5.77,D
8.72707,81.12466,334.56,0.36,0.58,2026-09-02,729,N,VIIRS,n,2.0NRT,291.57,5.77,D
8.76981,80.87205,336.94,0.38,0.59,2026-09-02,729,N,VIIRS,n,2.0NRT,296.83,3.67,D
8.85165,80.32201,333.34,0.41,0.61,2026-09-02,729,N,VIIRS,n,2.0NRT,294.93,5.21,D
9.41724,80.38377,337.57,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,295.68,4.93,D
9.43089,80.39628,332.16,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,295.53,3.24,D
9.43142,80.39938,330.56,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,295.24,3.58,D
9.43211,80.3729,335.15,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,295.31,6.05,D
9.43242,80.37336,341.55,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,295.23,6.5,D
9.4328,80.37656,354,0.4,0.6,2026-09-02,729,N,VIIRS,n,2.0NRT,295.64,10.97,D
